Filename,TP-shape,TP-type,TP-color,Noise,Resolution,SourceLink
0,0.jpg,1,2,1,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2VmDDFnIfVvs_E3zcBSsje0NZjsbKw-O24DJ_43o_T0xo4otPIw
1,1.jpg,1,1,4,1,1.0,http://www.livingindubai.org/wp-content/uploads/2015/03/work_man_crossing.jpg
2,2.jpg,1,1,4,1,1.0,https://ak3.picdn.net/shutterstock/videos/27391963/thumb/1.jpg
3,3.jpg,1,1,146,1,,not found
4,4.jpg,1,1,3,1,,not found
5,5.jpg,1,2,1,1,1.0,http://www.radioalgerie.dz/news/sites/default/files/field/image/120880242.jpg
6,6.jpg,1,1,3,1,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjSYyx8qITITW2xbSdVOrqW8-bNIFEK7ItcxL7-oVi-pUGCwSm
7,7.jpg,1,2,1,1,1.0,http://www.radioalgerie.dz/news/sites/default/files/styles/282x211/public/field/image/l_autoroute-peage.jpg?itok=ArY2UcvW
8,8.jpg,1,1,17,0,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8rhstPhKVPIlc8klkQvxkOgQ3yUV6Gg0IeR5c5NuufwFSRRrG
9,9.jpg,1,1,1,1,1.0,https://mw2.google.com/mw-panoramio/photos/medium/92061265.jpg
10,10.jpg,1,2,1,1,1.0,http://www.arabcont.com/projects/Images/RoadDSC_1676.JPG
11,11.jpg,1,2,2,1,1.0,https://t1.hespress.com/files/_img/img0319mw6.jpg
12,12.jpg,1,2,14,1,0.0,http://www.alriyadh.com/media/article/2013/05/19/img/796100693976.jpg
13,13.jpg,1,1,2,1,1.0,https://ssl.c.photoshelter.com/img-get/I0000GQjfDDOkbXM/s/850/850/Dubai-Road-Signs-0002.jpg
14,14.jpg,3,1,3,0,0.0,https://c8.alamy.com/compit/beh0a4/doppia-lingua-i-cartelli-stradali-in-marocco-beh0a4.jpg
15,15.jpg,1,2,1,0,1.0,https://i.ytimg.com/vi/g5O_yLYLPTo/hqdefault.jpg
16,16.jpg,1,3,4,1,0.0,http://www.alsharq.net.sa/wp-content/uploads/2012/06/181208-263x160.jpg
17,17.jpg,1,1,13,1,0.0,http://www.hareqnews.com/contents/useruppic/04fd5d2ec4dd79.jpg
18,18.jpg,1,2,1,1,0.0,http://hogra.h.o.pic.centerblog.net/0e1cb932.jpg
19,19.jpg,1,2,7,1,1.0,https://upload.wikimedia.org/wikipedia/commons/2/2a/The_Palm_Jumeirah_Entrance_Road_on_28_January_2007.jpg
20,20.jpg,2,2,13,0,1.0,https://lh5.googleusercontent.com/-4UKm_JLILjs/TiMyMy-qnNI/AAAAAAAADfM/b2GkuiyJ948/s576/IMG_1513.JPG
21,21.jpg,1,1,1,0,0.0,http://www.afifnews.com/wp-content/uploads/1320181728364.jpg
22,22.jpg,1,2,1,1,1.0,http://howiyapress.com/wp-content/uploads/2015/01/images_i9tissadiate_Auto_Route.jpg
23,23.jpg,1,2,1,1,1.0,https://3.bp.blogspot.com/-6v3WZcC91xc/VzdVpLqC8tI/AAAAAAAAACQ/ELeGfvuDb4MUz7AtCC7dDYNW6TG_gZ4XQCKgB/s1600/saadroadDSC_0092_1.JPG
24,24.jpg,1,2,1,1,0.0,https://i2.wp.com/fesnews.net/wp-content/uploads/2017/01/sayar.jpg?resize=620%2C330
25,25.jpg,1,2,137,1,1.0,http://arab-mirror.com/wp-content/uploads/2016/02/3049220739.jpg
26,27.jpg,1,2,1,1,0.0,http://ahdath.info/content/uploads/2015/08/AUTO.jpg
27,28.jpg,1,1,1,1,0.0,https://www.almowaten.net/wp-content/uploads/%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A.jpg
28,29.jpg,2,1,3,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIpIy7adNqgyrcZ1IHHh-QqmkKJxhA3QHarp3X3GvpxSmN23sd7A
29,30.jpg,1,2,17,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTeNzP3ngWnAJ577nq2F-iXUGtGId0JtTfSHXdDnZVgyFyXsj0UvQ
30,31.jpg,1,1,2,1,1.0,https://1.bp.blogspot.com/-jKxo9w5uTYs/VTTVYSosS5I/AAAAAAAAIiw/4Mq_q1xKbz0/s1600/2.jpg
31,32.jpg,2,1,2,1,1.0,https://i.ytimg.com/vi/6K3u6YhqNQw/maxresdefault.jpg
32,33.jpg,1,1,137,1,1.0,https://www.eamana.gov.sa/MediaCenter/Media/News/PublishingImages/Pages/%D8%A3%D9%85%D8%A7%D9%86%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9-%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD-%D8%A7%D9%84%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%85%D9%88%D8%A7%D8%B2%D9%8A-%D9%84%D9%86%D9%81%D9%82-%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%B9%D8%A8%D8%AF%D8%A7%D9%84%D9%84%D9%87-%D9%81%D9%8A-%D9%85%D8%AD%D8%A7%D9%81%D8%B8%D8%A9-%D8%A7%D9%84%D8%AE%D8%A8%D8%B1/3fb4e457-ea07-404b-b98a-0e7666083c90.jpg
33,34.jpg,1,2,2,1,0.0,https://i2.wp.com/qaliubiya.com/wp-content/uploads/2017/09/resize.jpg?fit=878%2C450
34,35.jpg,1,2,13,1,0.0,https://images.gulfnews.com/polopoly-images/2013/8/31/1.1225990_1974359701.jpg
35,36.jpg,1,1,134,1,0.0,http://www.emiratespr.com/wp-content/uploads/2017/12/xU-A-E-Traffic-Sign-Dubai-Uae-Autos-Jam-Traffic-338918-960x700.jpg.pagespeed.ic.1OxiZblUZb.jpg
36,37.jpg,1,1,27,1,,not found
37,38.jpg,1,1,14,1,0.0,https://img.youm7.com/large/201704260350445044.jpg
38,39.jpg,1,2,123,1,1.0,https://www.almowaten.net/wp-content/uploads/%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D9%87-%D8%A7%D9%84%D9%85%D9%86%D9%88%D8%B1%D9%87.jpg
39,40.jpg,1,1,124,0,0.0,https://www.aseernp.com/wp-content/uploads/2016/09/57ce95acde3b4.jpg
40,41.jpg,2,1,15,1,1.0,https://ak6.picdn.net/shutterstock/videos/23091076/thumb/1.jpg
41,42.jpg,1,1,12,1,1.0,https://fcache1.pakwheels.com/original/4X/2/2/5/225d92f57d86506d20b703d683064c6c53e4e62f.jpg
42,43.jpg,1,1,7,1,0.0,https://www.emaratalyoum.com/polopoly_fs/1.281305.1462817469!/image/image.jpg_gen/derivatives/original_640/image.jpg
43,44.jpg,1,1,1,0,1.0,https://lh6.googleusercontent.com/-9VxY2KEZfuw/ToYbOtklrhI/AAAAAAAADxY/IP0E5nK4oRI/s640/IMG_1750.JPG
44,45.jpg,1,2,1,1,,not found
45,46.jpg,1,2,1,0,0.0,https://www.travelzad.com/photo/files/457775.jpg
46,47.jpg,1,2,12,1,,not found
47,48.jpg,1,1,27,1,1.0,https://ssl.c.photoshelter.com/img-get/I0000VaNoNVHkDls/s/850/850/Dubai-Road-Signs-0011.jpg
48,49.jpg,1,1,13,0,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRE_JN2Eoj1SUOC4e5K8ilWRvFVPTNWlGqW3OvZnFP6fQqoJf0l
49,50.jpg,1,1,23,1,,not found
50,51.jpg,1,2,1,1,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYwOHAHjMeVKbHJBGVKgUSVSXgfyE1j85ghrYYxJj_HrLFne6N
51,52.jpg,1,1,123,1,,not found
52,53.jpg,1,1,34,1,0.0,https://c1.staticflickr.com/5/4094/4922967156_4cf92843f8_m.jpg
53,54.jpg,1,1,4,1,0.0,https://c1.staticflickr.com/6/5267/5661032140_9ca2df1039_b.jpg
54,55.jpg,1,1,2,1,0.0,https://www.hasanews.com/wp-content/uploads/2015/05/%D9%86%D9%85%D9%88%D8%B0%D8%AC-%D9%84%D9%84%D9%88%D8%AD%D8%A7%D8%AA-%D8%A7%D8%B1%D8%B4%D8%A7%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D8%AA%D8%B1%D9%88%D9%86%D9%8A%D8%A9-%D8%B7%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D8%AD%D8%B3%D8%A7%D8%A1-%D9%85%D8%B1%D9%88%D8%B1-2.jpg
55,56.jpg,1,1,2,1,0.0,http://mediacourt.net/wp-content/uploads/2018/07/%D8%B7%D8%B1%D9%8A%D9%82-%D8%A7%D9%84%D8%B3%D8%A7%D9%84%D9%85%D9%8A-%D8%B9%D9%86%D9%88%D8%A7%D9%86.jpg
56,57.jpg,1,2,1,1,1.0,https://static.alayam24.com/uploads/1512578597_650x400.jpg
57,58.jpg,1,1,4,0,,not found
58,59.jpg,1,1,1,1,0.0,https://www0.f1online.de/preW/005459000/5459570.jpg
59,60.jpg,1,2,1,1,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tizi_1_-_panoramio.jpg/1000px-Tizi_1_-_panoramio.jpg
60,61.jpg,1,1,1,1,1.0,https://rabatcity.ma/wp-content/uploads/2017/01/maxresdefault-1.jpg
61,62.jpg,1,1,3,1,1.0,https://www.emirates247.com/polopoly_fs/1.640803.1474519810!/image/image.jpg
62,63.jpg,1,1,4,1,1.0,https://ak0.picdn.net/shutterstock/videos/19542760/thumb/1.jpg
63,64.jpg,1,2,1,1,1.0,https://www.okaz.com.sa/uploads/images/2017/07/05/409122.jpg
64,66.jpg,1,1,1,1,0.0,http://union-egy.com/wp-content/uploads/2015/11/%D9%A2%D9%A0%D9%A1%D9%A5%D9%A0%D9%A2%D9%A0%D9%A7_%D9%A0%D9%A4%D9%A2%D9%A0%D9%A4%D9%A3-Copy-2-Copy.jpg
65,67.jpg,1,2,13,1,1.0,https://www.emirates247.com/polopoly_fs/1.393460.1452534282!/image/image.jpg
66,68.jpg,2,1,4,1,0.0,https://thumbs.dreamstime.com/z/arabic-men-work-street-sign-dubai-33374666.jpg
67,69.jpg,1,1,3,1,0.0,https://i.ytimg.com/vi/_s4l8OL34hc/hqdefault.jpg
68,70.jpg,1,2,13,1,0.0,http://www.raya.com/file/GetImageCustom/6233fc68-6c79-4ebd-b825-ce5a19378025/600/338
69,71.jpg,1,2,3,1,1.0,https://3.bp.blogspot.com/-JNcVsLZvU0I/VRxss_fcZLI/AAAAAAAAIII/wLGm6girogo/s1600/2.jpg
70,72.jpg,1,2,1,1,1.0,http://www.travellingforfun.com/wp-content/uploads/2014/01/Saudi-Arabia-Mecca-the-welcoming-country-300x225.jpg
71,73.jpg,2,1,3,0,1.0,https://lh6.googleusercontent.com/-bfMVTD1EkDY/UnADLeAeTOI/AAAAAAAD1Jg/fRL26s3stnA/w898-h600-no/386.JPG
72,74.jpg,1,1,123,1,,not found
73,75.jpg,1,2,2,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnbB3T9MTHEx9qwUHOJj5Iwg4Mrk02_a4eYdo8nVrXMFxBgJXoZ-dRJXc
74,76.jpg,1,1,1,1,0.0,http://website-alyaum.s3-website.eu-central-1.amazonaws.com/uploads/imported_images/media/article/AY1MAN13C-2_jIJCgFW.jpg
75,77.jpg,1,1,27,1,,not found
76,78.jpg,1,1,3,1,1.0,https://images.khaleejtimes.com/storyimage/KT/20150714/ARTICLE/307139858/AR/0/AR-307139858.jpg&MaxW=780&imageVersion=16by9&NCS_modified=20150715065643
77,79.jpg,1,1,4,1,1.0,https://static.timesofisrael.com/fr/uploads/2016/05/Web_F070827RZ02-1-e1464584826432-635x3571.jpg
78,80.jpg,1,1,1,1,,not found
79,81.jpg,1,1,7,1,1.0,https://ak1.picdn.net/shutterstock/videos/22091071/thumb/1.jpg
80,82.jpg,1,1,1,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRTcqeqFm4PXZ-RxRWMeLbuE132314PtyklaSK9jPuSKcc8OF5WTQ
81,83.jpg,1,1,1,0,0.0,https://www.almowaten.net/files/images/22822032.jpg
82,84.jpg,2,1,7,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIgdWFQFcJlkdX9NlwSRkFLLCx4YQzr2dIwDObgQmdjy-t11eCFA
83,85.jpg,1,1,4,1,0.0,https://www.autobip.com/storage/photos/articles/6158/thumb.jpg
84,86.jpg,1,2,1,1,1.0,https://www.newsly.ma/wp-content/uploads/2016/11/440px-A3_Rabat.jpg
85,87.jpg,1,1,1,1,1.0,https://www.almowaten.net/wp-content/uploads/IMG_1309-2-450x800.jpg
86,88.jpg,1,1,3,1,1.0,https://lh6.googleusercontent.com/-7XHkdF-IG1g/UmUHqViHAnI/AAAAAAADz3U/owMaK-pNoIA/w898-h600-no/092.JPG
87,89.jpg,1,2,1,1,,not found
88,90.jpg,2,1,3,1,,not found
89,91.jpg,1,2,1,1,1.0,http://static.gulfnews.com/polopoly_fs/1.943624!/image/320605501.jpg_gen/derivatives/box_460346/320605501.jpg
90,92.jpg,1,1,1,1,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS560fXfhQDPGNXnrx-P8OdHe9qCxch5lxf_SAOPsXrncgIvoDdRQ
91,93.jpg,1,1,1,1,0.0,https://www.al-sharq.com/uploads/images/post_main_cover/post-392690-243721_0.jpg
92,94.jpg,1,1,1,1,1.0,https://static.cnews.fr/sites/default/files/styles/image_640_360/public/sinai.jpg?itok=_Lp35GGY
93,95.jpg,1,2,1,1,1.0,https://s1.akhbarona.com/thumbs/article_large/a/9/60017867_911224865.jpg
94,96.jpg,1,2,12,1,1.0,http://mw2.google.com/mw-panoramio/photos/medium/45728473.jpg
95,97.jpg,1,1,123,1,1.0,http://www.alaflaaj.com/contents/newsm/10724.jpg
96,98.jpg,1,1,1,1,1.0,http://www.air.flyingway.com/up/2011/069f252c02.jpg
97,99.jpg,1,2,1,1,1.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4Cq25lJ9SWPkGKUQIBHeyckByP-8JwQ4pOhvJ2PKedhjakptr8Q
98,100.jpg,1,1,6,1,1.0,http://whatson.ae/dubai/wp-content/uploads/2017/09/SCHOOLEMOJI_MAIN-963x400.jpg
99,102.jpg,1,2,1,1,0.0,https://www.h24info.ma/wp-content/uploads/2017/03/articlesprincipalesrabat-casa.jpg
100,103.jpg,1,2,1,1,1.0,https://i.ytimg.com/vi/KbHjiBXxf6E/0.jpg
101,104.jpg,1,1,237,1,1.0,http://lh4.ggpht.com/_luyHLUs7Ks0/S0txlYvXnPI/AAAAAAAANCM/dmnhkSDQbKY/s640/80.jpg
102,105.jpg,1,1,1,0,1.0,http://www.mekshat.com/pix/upload05/images227/mk112703_96%20(1).jpg
103,106.jpg,1,2,13,1,1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/AutorouteA4Tunisie.JPG/300px-AutorouteA4Tunisie.JPG
104,107.jpg,1,1,1,1,0.0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYmmlUOPCWWOFAxUXrQTo840_qieuexX2BuM11NOwhFdDE61da
105,108.jpg,1,1,1,1,,not found
106,109.jpg,1,1,3,0,0.0,https://www.travelzad.com/photo/files/258359.jpg
107,110.jpg,1,2,1,1,,not found
108,111.jpg,1,1,237,1,,not found
109,112.jpg,1,1,1236,1,,not found
110,113.jpg,1,2,1,1,,not found
111,114.jpg,1,1,2,1,1.0,https://www.sabre-roads.org.uk/wiki/images/3/37/Dubai_A-road_sign_-_Coppermine_-_13891.JPG
112,115.jpg,1,2,1,1,1.0,http://farm5.static.flickr.com/4151/5415285290_74cb3d3201_b.jpg
113,116.jpg,1,2,1,1,1.0,https://www.lavieeco.com/wp-content/uploads/2015/10/autoroute-2015-02-20.jpg
114,117.jpg,1,1,1,1,1.0,https://www.alittihad.ae/assets/images/Emirates/2014/05/03/320x240/91a-na-143906.jpg
115,118.jpg,1,1,12,1,0.0,http://www.alriyadh.com/media/thumb/97/59/750_9bf813609b.jpg
116,119.jpg,1,1,2,0,1.0,http://a4.pbase.com/o2/93/329493/1/124307588.LOoRSlo7.JerusalemMay100777.jpg
117,120.jpg,1,2,1,1,1.0,https://www.rhinocarhire.com/CorporateSite/media/Drive-Smart/Morocco-motorway-sign.jpg
118,121.jpg,1,1,13,1,1.0,http://www.alsharq.net.sa/wp-content/uploads/2012/08/243273-263x160.jpg
119,122.jpg,1,1,1,1,,not found
120,123.jpg,1,1,3,1,1.0,http://1.bp.blogspot.com/-4d55Kjss_3A/UEAIAmrQFTI/AAAAAAAAA38/YJK-Oz6uQKg/s1600/Road+Sign+-+Dubai.jpg
121,124.jpg,1,1,1,1,1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Panneau_de_signalisation_multilingue_%C3%A0_Issers_%28Alg%C3%A9rie%29.jpg/260px-Panneau_de_signalisation_multilingue_%C3%A0_Issers_%28Alg%C3%A9rie%29.jpg
122,125.jpg,1,1,13,1,1.0,https://ak1.picdn.net/shutterstock/videos/18742901/thumb/1.jpg
123,126.jpg,1,2,1,1,,not found
124,127.jpg,1,2,12,1,,not found
125,128.jpg,1,1,1,0,0.0,http://www.alriyadh.com/media/article/2014/01/21/img/566151380887.jpg
126,129.jpg,1,1,2,0,0.0,https://media.gettyimages.com/photos/sign-in-arabic-french-and-english-welcomes-people-to-the-island-of-picture-id549017117?s=594x594
127,130.jpg,1,1,13,1,,not found
128,131.jpg,1,1,27,0,0.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Hassani_abdelkrim.jpg/220px-Hassani_abdelkrim.jpg
129,132.jpg,1,1,13,1,,not found
130,133.jpg,1,1,37,1,0.0,http://img.alarab.qa/Content/Upload/Large/EA_703755_289333.jpg
131,134.jpg,1,2,6,1,1.0,http://www.mekshat.com/pix/upload/images34/mk32963_jjjjj.jpg
132,135.jpg,1,2,13,1,,not found
133,136.jpg,1,1,1,1,1.0,https://www.h24info.ma/wp-content/uploads/2018/03/image-23.jpg
134,137.jpg,1,2,1,1,1.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/A3_Rabat.jpg/449px-A3_Rabat.jpg
135,138.jpg,1,1,17,0,1.0,https://eyp4.iypcdn.com/static//modules/uploads/photos/english/12-2017/alfarouk-for-traffic-safety-products-photo_200593_2017_09.jpg?30
136,139.jpg,1,1,2,1,,not found
137,140.jpg,1,2,1,1,,not found
